countries,judicial independence,impartial courts,protection of property rights,military interference in rule of law and politics,integrity of the legal system,legal enforcement of contracts,regulatory restrictions on the sale of real property,reliability of police,gender legal rights adjustment,legal system & property rights,revenue from trade taxes (% of trade sector),mean tariff rate,standard deviation of tariff rates,tariffs,non-tariff trade barriers,compliance costs of importing and exporting,regulatory trade barriers,black market exchange rates,financial openness,capital controls,freedom of foreigners to visit,controls of the movement of capital and people,freedom to trade internationally,ownership of banks,private sector credit,interest rate controls/negative real interest rates),credit market regulations,hiring regulations and minimum wage,hiring and firing regulations,centralized collective bargaining,hours regulations,mandated cost of worker dismissal,conscription,labor market regulations,administrative requirements,regulatory burden,starting a business,impartial public administration,licensing restrictions,tax compliance,business regulations,regulation,corruption perceptions index,human development index,categories
"Iran, Islamic Rep.",3.52,2.99,4.22,6.67,4.99,4.62,8.17,5.13,0.41,3.56,7.52,5.98,2.6,5.37,4.94,4.39,4.66,0.0,0.0,0.83,0.0,0.28,2.58,0.0,9.22,10.0,6.41,7.77,3.88,5.31,8.0,2.52,1.0,4.74,2.4,0.0,7.67,5.67,8.79,7.58,5.35,5.5,25.0,0.774,high
Iraq,4.94,2.56,5.52,2.5,3.37,4.84,6.64,5.6,0.47,3.05,9.67,0.0,0.0,3.22,5.51,0.46,2.99,10.0,5.54,2.31,0.0,1.15,4.34,7.6,10.0,9.0,9.5,2.23,5.84,6.19,6.0,6.55,10.0,6.13,5.15,0.0,8.74,1.67,8.2,6.5,5.04,6.89,21.0,0.686,medium
Ireland,7.83,7.14,7.89,10.0,9.23,4.72,7.27,7.81,1.0,7.74,8.6,8.98,6.51,8.03,6.73,9.09,7.91,10.0,10.0,7.69,0.0,5.9,7.96,8.0,8.66,9.0,8.55,8.9,5.14,7.15,10.0,6.37,10.0,7.93,4.9,6.44,9.65,9.26,8.24,9.09,7.93,8.14,72.0,0.945,very_high
Israel,6.91,6.98,7.4,4.17,8.22,4.61,6.93,6.82,0.88,6.12,9.75,9.3,6.33,8.46,5.79,7.4,6.59,10.0,10.0,6.15,0.0,5.38,7.61,10.0,5.87,10.0,8.62,8.9,5.8,6.97,8.0,2.52,0.0,5.36,4.22,8.22,9.62,7.45,7.65,7.38,7.42,7.14,60.0,0.919,very_high
Italy,6.18,5.0,5.63,10.0,7.11,3.54,8.25,6.41,1.0,6.51,8.6,8.98,6.51,8.03,6.02,9.98,8.0,10.0,10.0,6.92,5.0,7.31,8.34,10.0,8.64,10.0,9.55,5.57,3.33,3.82,8.0,10.0,10.0,6.79,1.76,6.22,9.5,7.29,7.82,7.33,6.65,7.66,53.0,0.895,very_high
Jamaica,6.72,5.74,5.74,8.33,5.66,3.27,8.72,4.25,0.94,5.88,2.35,8.28,5.49,5.37,6.13,5.7,5.91,10.0,4.17,1.54,0.0,1.9,5.8,10.0,8.63,9.0,9.21,8.9,4.72,6.97,10.0,6.55,10.0,7.86,3.72,6.0,9.86,7.04,8.63,7.0,7.04,8.03,44.0,0.709,high
Japan,7.84,7.82,8.69,8.33,8.63,5.54,8.01,8.72,0.94,7.71,9.67,9.12,3.63,7.47,6.26,8.73,7.49,10.0,10.0,8.46,0.0,6.15,7.78,8.0,6.16,10.0,8.05,8.9,4.17,7.92,8.0,10.0,10.0,8.17,5.01,8.44,9.56,8.18,9.15,8.56,8.15,8.12,74.0,0.925,very_high
Jordan,5.67,5.85,6.69,5.83,6.39,3.73,6.72,7.98,0.47,4.49,9.33,7.98,3.9,7.07,5.82,6.73,6.27,10.0,10.0,6.15,0.0,5.38,7.18,10.0,6.2,10.0,8.73,7.77,5.48,7.19,6.0,10.0,10.0,7.74,4.64,5.78,9.35,5.12,9.82,8.92,7.27,7.91,49.0,0.72,high
Kazakhstan,4.25,4.17,5.64,8.33,5.19,5.04,9.91,5.24,0.88,5.62,7.03,8.78,7.27,7.69,5.8,4.89,5.34,10.0,2.24,5.38,1.45,3.02,6.52,8.0,7.34,10.0,8.45,10.0,5.27,7.85,10.0,9.25,3.0,7.56,4.94,6.0,9.84,4.46,9.24,7.92,7.07,7.69,38.0,0.811,very_high
Kenya,5.35,4.25,4.97,5.83,5.46,4.42,7.24,4.86,0.88,4.99,6.57,7.3,4.82,6.23,5.17,5.49,5.33,10.0,7.0,3.85,0.0,3.62,6.29,10.0,0.29,10.0,6.76,6.67,5.16,6.64,8.0,6.3,10.0,7.13,4.78,4.22,9.03,6.95,8.32,7.99,6.88,6.92,31.0,0.575,medium
"Korea, Rep.",6.06,6.74,6.69,6.67,8.04,6.88,8.22,7.24,0.88,6.65,9.65,7.28,0.0,5.64,5.63,9.58,7.6,10.0,10.0,6.15,0.0,5.38,7.16,8.0,9.39,10.0,9.13,5.57,4.24,6.31,10.0,2.52,0.0,4.77,3.76,9.11,9.59,7.88,9.99,8.05,8.06,7.32,61.0,0.925,very_high
Kuwait,6.13,6.04,5.73,8.33,6.74,5.07,9.51,6.6,0.47,4.98,9.38,9.06,7.88,8.77,5.21,4.1,4.65,10.0,7.0,3.85,0.0,3.62,6.76,10.0,10.0,10.0,10.0,10.0,5.41,6.35,4.0,4.39,3.0,5.52,4.83,2.44,9.36,4.94,9.23,8.9,6.62,7.38,42.0,0.831,very_high
Kyrgyzstan,4.53,3.56,4.28,6.4,5.73,4.52,9.87,3.75,0.88,4.87,7.62,8.68,7.73,8.01,5.1,6.05,5.58,10.0,5.36,1.54,3.67,3.52,6.78,8.0,8.99,9.0,8.66,5.0,4.34,7.39,10.0,7.76,1.0,5.91,3.92,4.0,9.67,5.14,8.19,7.53,6.41,6.99,31.0,0.692,medium
Lao People's Democratic Republic,5.14,3.88,4.59,6.4,3.49,3.08,8.45,5.37,1.0,4.86,9.02,8.28,7.11,8.14,5.52,7.45,6.49,10.0,1.64,1.54,0.0,1.06,6.42,7.6,8.25,10.0,9.13,5.57,4.46,6.61,10.0,1.02,1.0,4.78,4.38,3.33,6.62,4.29,9.41,5.94,5.66,6.52,29.0,0.607,medium
Latvia,6.95,6.01,6.18,8.33,8.22,5.53,9.03,6.2,1.0,7.06,8.6,8.98,6.51,8.03,6.76,9.42,8.09,10.0,10.0,6.92,5.0,7.31,8.36,10.0,8.45,8.0,8.82,5.0,5.06,8.03,10.0,7.76,10.0,7.64,4.25,8.22,9.81,8.18,7.79,8.11,7.73,8.06,57.0,0.863,very_high
Lebanon,4.68,3.6,5.08,3.33,4.46,3.16,7.33,4.64,0.82,4.14,9.59,8.8,5.18,7.85,4.89,3.12,4.0,0.0,4.48,1.54,0.0,2.0,3.47,10.0,0.0,10.0,6.67,5.57,4.85,6.4,8.0,10.0,10.0,7.47,3.55,0.67,8.94,3.59,6.4,7.97,5.19,6.44,25.0,0.706,high
Lesotho,5.93,4.52,4.12,6.4,6.72,3.93,6.49,6.38,0.94,5.28,7.41,8.46,5.94,7.94,3.35,9.81,6.58,10.0,1.64,1.54,0.0,1.06,6.39,10.0,10.0,10.0,10.0,6.67,4.28,4.37,8.0,6.55,10.0,6.64,4.45,4.67,9.46,5.77,7.91,6.33,6.43,7.69,41.0,0.514,low
Liberia,5.56,3.22,4.16,5.0,4.53,2.87,4.8,4.38,1.0,4.31,6.43,7.58,7.05,7.02,5.04,0.0,2.52,10.0,7.17,8.46,0.0,5.21,6.19,8.0,0.0,9.0,5.67,6.67,4.92,6.51,8.0,3.09,10.0,6.53,3.24,2.89,9.36,4.79,9.46,8.44,6.36,6.19,28.0,0.481,low
Libya,4.45,2.08,3.28,5.0,5.21,3.62,7.59,4.66,0.71,3.45,8.29,8.2,0.0,0.0,3.52,4.26,3.89,7.58,1.64,0.77,0.0,0.8,3.07,7.6,10.0,4.0,7.0,7.23,4.17,4.31,8.0,4.39,10.0,6.35,4.72,0.0,8.52,0.77,8.37,0.03,2.81,5.39,17.0,0.718,high
Lithuania,7.18,6.06,6.2,8.33,7.26,6.24,9.67,6.96,1.0,7.24,8.6,8.98,6.51,8.03,6.16,9.78,7.97,10.0,10.0,6.92,5.0,7.31,8.33,10.0,6.44,9.0,8.48,7.23,4.97,8.31,8.0,8.5,3.0,6.67,3.8,8.44,9.77,7.36,9.71,8.94,8.0,7.72,60.0,0.875,very_high
Luxembourg,8.29,7.82,8.49,10.0,9.09,7.46,6.18,8.59,1.0,8.24,8.6,8.98,6.51,8.03,7.44,9.98,8.71,10.0,5.54,3.85,5.0,4.43,7.79,8.0,8.07,9.0,8.36,2.23,5.67,6.78,6.0,8.5,10.0,6.53,5.89,6.44,9.4,9.68,8.39,9.38,8.2,7.69,80.0,0.93,very_high
Madagascar,4.1,3.24,3.68,1.67,4.34,2.96,5.15,2.5,0.76,3.05,7.99,7.68,7.26,7.64,4.83,5.09,4.96,10.0,1.64,0.77,0.0,0.8,5.85,10.0,5.07,6.0,7.02,0.0,4.49,7.22,8.0,7.12,1.0,4.64,3.13,2.89,9.43,3.79,7.69,7.95,5.81,5.82,25.0,0.501,low
Malawi,5.41,4.24,4.86,5.83,6.31,2.33,8.55,4.32,0.88,4.93,8.45,7.56,6.0,7.34,5.83,5.02,5.42,4.68,1.64,0.77,0.0,0.8,4.56,10.0,4.03,6.0,6.68,4.43,4.48,6.89,10.0,5.68,10.0,6.91,4.4,3.11,8.47,6.12,8.41,8.11,6.44,6.68,30.0,0.512,low
Malaysia,6.31,6.73,7.52,8.33,6.44,5.73,8.63,7.38,0.65,5.88,9.86,8.86,4.32,7.68,6.89,8.54,7.72,10.0,4.17,0.77,2.56,2.5,6.97,10.0,7.83,10.0,9.28,10.0,6.67,7.33,10.0,4.24,10.0,8.04,6.67,9.56,9.32,5.03,10.0,8.05,8.1,8.47,51.0,0.803,very_high
Mali,5.25,3.58,4.0,3.33,5.6,2.63,5.8,3.96,0.65,3.52,8.21,7.58,7.05,7.61,4.56,5.3,4.93,10.0,1.64,0.77,0.0,0.8,5.84,10.0,8.11,5.0,7.7,5.57,4.89,5.45,8.0,7.57,0.0,5.25,4.01,3.33,9.05,4.29,8.88,6.91,6.08,6.34,30.0,0.428,low
Malta,6.68,6.42,6.82,10.0,7.78,5.35,5.24,5.29,0.94,6.5,8.6,8.98,6.51,8.03,7.05,8.92,7.98,10.0,10.0,7.69,5.0,7.57,8.4,10.0,5.65,10.0,8.55,7.23,5.16,7.32,8.0,10.0,10.0,7.95,4.79,6.89,9.27,6.85,8.0,8.44,7.37,7.96,53.0,0.918,very_high
Mauritania,3.61,2.77,3.2,6.4,3.67,6.27,7.59,6.23,0.47,3.5,8.29,7.58,7.19,7.39,3.3,5.57,4.43,10.0,1.64,3.08,0.0,1.57,5.85,10.0,10.0,9.0,9.67,5.57,3.45,6.02,8.0,7.94,5.0,6.0,2.54,2.67,9.64,4.88,9.21,6.97,5.99,7.22,29.0,0.556,medium
Mauritius,6.81,6.36,7.19,6.4,7.31,5.25,9.48,6.14,1.0,6.94,9.8,9.84,8.58,9.41,6.5,8.54,7.52,10.0,7.0,4.62,0.0,3.87,7.7,8.0,1.44,10.0,6.48,6.67,5.98,6.24,10.0,8.5,10.0,7.9,5.02,8.44,9.85,5.75,9.36,8.43,7.81,7.39,53.0,0.802,very_high
Mexico,4.81,4.03,5.19,5.0,3.87,5.07,7.33,2.47,1.0,4.72,9.78,8.58,5.91,8.09,6.11,8.46,7.29,10.0,7.0,1.54,7.19,5.24,7.65,8.0,8.1,10.0,8.7,6.67,4.05,7.0,8.0,4.82,3.0,5.59,3.11,5.78,9.57,4.85,9.56,7.3,6.7,7.0,31.0,0.758,high
Moldova,4.96,4.39,4.89,6.67,6.22,4.32,9.57,4.42,1.0,5.68,9.26,8.94,7.8,8.67,6.12,8.79,7.46,10.0,1.64,0.77,0.0,0.8,6.73,10.0,6.96,10.0,8.99,5.57,4.72,7.58,6.0,6.79,3.0,5.61,4.02,6.44,9.83,6.73,6.38,7.95,6.89,7.16,34.0,0.767,high
Mongolia,5.27,4.33,4.27,8.33,5.96,6.25,9.11,5.05,1.0,6.07,8.85,8.96,9.0,8.94,4.99,2.59,3.79,10.0,8.36,0.77,0.0,3.04,6.44,7.6,10.0,10.0,10.0,8.9,4.65,7.79,6.0,9.25,3.0,6.6,3.01,6.22,9.6,6.98,8.68,8.5,7.17,7.92,35.0,0.739,high
Montenegro,6.07,5.58,5.56,6.4,6.7,4.8,7.68,5.89,0.94,5.86,7.8,9.26,7.88,8.31,5.73,9.29,7.51,10.0,5.54,6.15,0.0,3.08,7.23,10.0,8.49,10.0,9.5,6.67,5.12,6.47,10.0,7.76,10.0,7.67,5.0,7.11,9.6,4.96,9.25,6.64,7.09,8.09,45.0,0.832,very_high
Morocco,5.96,5.41,7.16,6.67,6.28,4.88,7.52,8.08,0.76,5.73,9.32,7.54,3.16,6.67,6.74,8.08,7.41,10.0,1.64,0.77,0.0,0.8,6.22,8.0,7.17,10.0,8.39,1.1,4.72,7.26,8.0,5.29,3.0,4.89,5.23,6.0,9.67,4.29,9.97,8.26,7.24,6.84,40.0,0.683,medium
Mozambique,4.56,3.63,3.81,7.5,5.37,1.76,7.54,2.89,0.94,4.5,9.08,7.94,7.03,8.02,4.08,7.4,5.74,10.0,1.64,0.0,0.0,0.55,6.08,10.0,9.92,9.0,9.64,3.33,3.63,5.44,6.0,0.0,0.0,3.07,3.3,3.78,8.33,3.74,8.98,7.76,5.98,6.23,25.0,0.446,low
Myanmar,4.35,3.8,3.23,3.33,5.56,1.87,7.36,3.1,0.88,3.83,9.51,8.7,7.32,8.51,5.19,0.89,3.04,10.0,0.0,0.77,0.0,0.26,5.45,0.0,8.69,9.0,5.9,8.9,3.95,7.36,8.0,4.01,0.0,5.37,4.95,6.89,9.64,6.57,9.48,6.84,7.39,6.22,28.0,0.585,medium
Namibia,6.87,6.09,6.73,10.0,7.66,4.82,4.63,5.43,0.94,6.34,0.0,8.46,4.98,4.48,5.41,5.27,5.34,10.0,1.64,0.77,0.0,0.8,5.16,10.0,3.6,10.0,7.87,10.0,4.63,6.15,10.0,8.27,10.0,8.17,4.8,4.22,8.18,8.95,8.31,6.61,6.85,7.63,51.0,0.615,medium
Nepal,5.21,3.57,4.7,6.4,6.64,3.34,7.98,5.1,0.94,5.07,4.97,7.56,5.17,5.9,4.86,7.94,6.4,10.0,1.64,0.0,0.0,0.55,5.71,8.0,8.41,10.0,8.8,6.67,4.03,5.6,10.0,2.6,10.0,6.48,3.55,6.89,9.07,6.15,8.98,5.77,6.73,7.34,33.0,0.602,medium
Netherlands,8.04,8.23,8.48,10.0,9.25,6.57,7.95,8.32,1.0,8.35,8.6,8.98,6.51,8.03,7.15,9.98,8.56,10.0,10.0,8.46,5.0,7.82,8.6,5.0,8.5,10.0,7.83,6.67,6.4,5.18,10.0,7.53,10.0,7.63,5.66,6.0,9.85,8.76,8.29,8.67,7.87,7.78,82.0,0.941,very_high
New Zealand,8.66,8.48,8.09,10.0,8.77,7.18,9.9,8.68,1.0,8.72,8.55,9.62,8.96,9.04,7.45,8.74,8.09,10.0,10.0,6.92,0.0,5.64,8.19,10.0,6.67,9.0,8.56,8.9,5.28,7.62,10.0,10.0,10.0,8.63,5.19,8.44,9.98,9.65,9.4,8.43,8.52,8.57,88.0,0.937,very_high
Nicaragua,2.88,2.52,4.0,4.17,3.21,5.14,6.97,5.09,1.0,4.25,9.64,8.86,7.06,8.52,5.06,6.07,5.57,10.0,10.0,5.38,0.0,5.13,7.3,10.0,9.18,9.0,9.39,6.67,4.98,5.53,2.0,6.26,10.0,5.91,3.32,3.56,8.86,2.44,7.24,7.75,5.53,6.94,22.0,0.667,medium
Niger,5.43,4.32,4.21,3.33,4.51,4.4,7.32,5.6,0.53,3.66,3.82,7.58,7.05,6.15,7.51,4.38,5.94,10.0,1.64,0.77,0.0,0.8,5.72,10.0,6.63,5.0,7.21,1.67,5.95,7.79,8.0,7.38,0.0,5.13,5.56,4.89,9.56,6.83,9.26,6.97,7.18,6.51,32.0,0.4,low
Nigeria,5.01,3.31,4.04,3.33,4.48,5.09,4.55,3.05,0.82,3.75,8.29,7.58,7.05,7.31,6.31,0.57,3.44,4.46,3.0,5.38,0.0,2.79,4.5,10.0,7.46,9.0,8.82,10.0,6.06,7.72,10.0,10.0,10.0,8.96,2.85,2.22,9.49,3.4,9.2,6.15,5.55,7.78,25.0,0.535,low
North Macedonia,3.64,3.8,4.31,6.4,5.49,3.95,8.38,3.91,0.94,4.64,9.59,8.66,6.57,8.27,4.95,9.61,7.28,10.0,4.48,3.08,8.74,5.43,7.75,10.0,9.37,10.0,9.79,7.23,4.33,5.74,8.0,7.38,10.0,7.11,3.31,8.0,9.49,4.67,9.43,8.67,7.26,8.05,35.0,0.77,high
Norway,8.46,8.3,7.93,10.0,9.47,7.3,9.12,7.98,1.0,8.57,9.89,8.82,0.0,6.24,5.41,9.85,7.63,10.0,10.0,4.62,5.0,6.54,7.6,10.0,8.09,10.0,9.36,7.23,4.54,4.73,6.0,10.0,0.0,5.42,4.75,6.67,9.85,9.58,9.13,9.11,8.18,7.65,84.0,0.961,very_high
Oman,6.09,6.91,7.69,8.33,6.96,5.04,7.69,8.55,0.47,5.26,9.63,8.88,5.0,7.84,6.02,8.56,7.29,10.0,10.0,5.38,0.0,5.13,7.56,10.0,0.0,10.0,6.67,8.9,5.42,7.15,2.0,6.52,10.0,6.69,5.66,5.33,9.82,6.55,8.88,9.24,7.58,6.98,54.0,0.816,very_high
Pakistan,5.35,3.3,4.71,2.5,4.88,3.5,6.64,4.73,0.71,3.8,7.93,7.58,5.6,7.04,4.99,4.33,4.66,10.0,1.64,0.77,0.0,0.8,5.62,8.0,5.27,10.0,7.76,1.1,5.37,5.48,6.0,2.6,10.0,5.09,4.65,5.11,9.4,1.7,8.87,6.83,6.09,6.31,31.0,0.544,low
Panama,4.71,4.63,5.84,8.33,5.37,2.69,8.82,5.46,0.94,5.56,9.61,8.98,6.21,8.27,5.87,8.9,7.39,10.0,10.0,10.0,0.0,6.67,8.08,8.0,6.17,10.0,8.06,2.23,3.63,5.99,4.0,4.13,10.0,5.0,3.95,6.22,9.75,6.65,9.2,5.43,6.87,6.64,35.0,0.805,very_high
Papua New Guinea,5.67,4.86,3.58,7.5,5.41,1.01,6.93,5.65,0.82,4.63,6.61,9.2,5.97,7.26,4.92,6.25,5.59,10.0,3.0,7.69,0.0,3.56,6.6,10.0,4.57,10.0,8.19,7.77,4.92,5.17,10.0,7.01,10.0,7.48,4.37,3.11,8.49,3.05,7.38,7.68,5.68,7.12,27.0,0.558,medium
Paraguay,4.32,3.48,5.27,2.5,4.65,4.07,8.54,2.84,1.0,4.46,9.12,8.08,6.77,7.99,5.88,5.96,5.92,10.0,4.48,3.85,0.0,2.77,6.67,8.0,6.9,9.0,7.97,5.57,3.28,6.76,6.0,2.6,3.0,4.53,4.28,4.44,8.33,4.99,8.94,5.76,6.13,6.21,28.0,0.717,high
Peru,5.32,3.8,4.24,7.5,5.68,4.68,8.54,3.02,1.0,5.35,9.73,9.52,8.43,9.23,5.51,6.65,6.08,10.0,10.0,8.46,0.0,6.15,7.86,8.0,5.39,9.0,7.46,3.9,2.8,7.51,10.0,7.04,10.0,6.87,2.55,6.44,9.07,6.41,8.68,7.09,6.71,7.02,38.0,0.762,high
Philippines,4.88,3.82,5.82,4.17,4.78,4.18,7.93,3.34,0.82,4.44,6.57,8.78,7.34,7.56,5.99,5.09,5.54,10.0,4.48,0.77,0.0,1.75,6.21,8.0,7.71,10.0,8.57,7.77,5.03,6.99,10.0,2.52,10.0,7.05,3.32,5.33,8.7,3.51,8.96,8.08,6.32,7.31,34.0,0.699,medium
Poland,4.78,6.07,5.14,10.0,6.29,4.56,7.35,5.15,1.0,6.17,8.6,8.98,6.51,8.03,5.74,9.98,7.86,10.0,7.0,2.31,5.0,4.77,7.67,5.0,6.52,10.0,7.17,5.57,3.86,7.43,8.0,7.76,10.0,7.1,3.14,8.44,8.66,6.41,8.68,6.26,6.93,7.07,56.0,0.876,very_high
Portugal,7.1,6.22,6.54,10.0,7.99,4.23,7.41,7.97,1.0,7.18,8.6,8.98,6.51,8.03,7.34,9.98,8.66,10.0,10.0,6.15,5.0,7.05,8.44,5.0,6.7,6.0,5.9,2.23,3.51,6.05,6.0,7.04,10.0,5.81,3.48,7.11,9.77,6.78,8.31,7.28,7.12,6.28,61.0,0.866,very_high
Qatar,5.95,7.1,7.41,6.67,7.0,4.86,9.88,7.92,0.53,5.43,9.31,8.98,6.76,8.35,6.63,7.47,7.05,10.0,10.0,4.62,0.0,4.87,7.57,5.0,10.0,10.0,8.33,10.0,6.96,7.4,4.0,4.82,3.0,6.03,6.61,6.67,9.65,5.68,9.49,9.54,7.94,7.43,63.0,0.855,very_high
Romania,6.38,5.15,6.07,8.33,6.28,5.04,9.3,6.59,1.0,6.64,8.6,8.98,6.51,8.03,6.26,9.97,8.11,10.0,10.0,8.46,5.0,7.82,8.49,8.0,5.05,10.0,7.68,3.9,5.62,6.93,8.0,10.0,10.0,7.41,3.33,5.78,9.36,6.08,6.67,8.17,6.56,7.22,44.0,0.821,very_high
Russian Federation,4.18,4.08,4.47,6.67,4.39,5.09,9.7,5.03,0.88,5.13,7.47,8.68,6.96,7.7,5.19,6.93,6.06,10.0,4.77,2.31,0.0,2.36,6.53,5.0,8.52,10.0,7.84,5.0,5.11,7.82,6.0,8.5,3.0,5.9,3.7,4.0,9.67,3.46,8.23,8.22,6.21,6.65,30.0,0.822,very_high
Rwanda,4.53,6.12,5.79,6.4,4.74,4.81,9.83,7.7,1.0,6.22,8.62,7.5,5.15,7.09,5.94,5.72,5.83,10.0,7.47,8.46,0.0,5.31,7.06,5.0,4.82,9.0,6.27,10.0,5.76,6.86,10.0,7.01,10.0,8.27,6.15,7.33,9.87,4.86,9.32,8.99,7.75,7.43,54.0,0.534,low
Saudi Arabia,5.55,6.17,7.89,8.33,6.48,4.73,9.97,8.74,0.88,6.81,9.39,8.88,0.77,6.35,6.18,7.41,6.8,10.0,7.0,0.77,0.0,2.59,6.43,5.0,5.53,10.0,6.84,8.33,6.16,7.73,6.0,4.39,10.0,7.1,6.13,4.44,9.61,3.81,9.29,8.83,7.02,6.99,53.0,0.875,very_high
Senegal,4.98,4.81,5.2,4.17,6.02,3.35,6.89,6.92,0.65,4.36,7.17,7.58,7.05,7.26,5.46,6.23,5.85,10.0,1.64,0.77,0.0,0.8,5.98,10.0,7.58,5.0,7.53,0.0,3.99,6.43,4.0,7.19,0.0,3.6,4.5,5.11,9.56,6.19,8.02,5.34,6.45,5.86,45.0,0.511,low
Serbia,5.35,4.61,4.86,6.67,5.58,3.37,8.52,5.12,1.0,5.51,9.47,8.52,7.16,8.38,5.76,9.75,7.75,10.0,5.54,1.54,0.0,0.77,6.73,8.0,6.46,9.0,7.82,2.23,5.02,6.79,10.0,7.51,10.0,6.92,3.49,6.0,9.75,4.59,9.29,7.47,6.77,7.17,38.0,0.802,very_high
Seychelles,6.12,6.02,6.19,6.4,7.61,4.06,7.08,4.86,0.94,5.81,9.49,9.5,5.92,8.3,5.87,5.33,5.6,10.0,10.0,8.46,0.0,6.15,7.51,5.0,0.0,9.0,4.67,8.9,5.13,5.82,8.0,7.53,10.0,7.56,5.17,5.78,8.84,7.55,9.08,9.05,7.58,6.6,66.0,0.785,high
Sierra Leone,4.97,3.95,4.4,4.17,6.41,4.18,5.46,4.13,0.94,4.57,7.64,7.58,7.05,7.42,5.15,4.23,4.69,10.0,1.64,0.0,0.0,0.55,5.67,2.0,0.0,9.0,3.67,3.33,4.47,7.05,8.0,0.0,10.0,5.48,2.82,3.11,9.66,7.5,7.91,6.16,6.19,5.11,33.0,0.477,low
Singapore,6.4,8.47,8.94,8.33,8.21,7.83,8.96,9.19,1.0,8.29,10.0,10.0,10.0,10.0,8.36,9.2,8.78,10.0,10.0,6.92,0.0,5.64,8.61,10.0,7.79,10.0,9.26,10.0,7.7,8.39,10.0,10.0,0.0,7.68,7.44,9.78,9.95,8.76,9.99,9.28,9.2,8.72,85.0,0.939,very_high
Slovak Republic,5.51,5.12,5.69,10.0,6.85,3.75,9.69,3.99,1.0,6.32,8.6,8.98,6.51,8.03,6.11,9.98,8.05,10.0,7.47,5.38,0.0,4.29,7.59,10.0,6.64,10.0,8.88,5.57,3.79,6.59,8.0,7.76,10.0,6.95,2.31,6.44,9.25,7.4,6.03,7.85,6.55,7.46,49.0,0.848,very_high
Slovenia,5.91,5.97,6.07,9.17,7.03,4.23,8.32,7.43,0.94,6.57,8.6,8.98,6.51,8.03,6.78,9.98,8.38,10.0,7.0,3.08,0.0,3.36,7.44,5.0,6.98,10.0,7.33,2.23,2.74,6.07,8.0,8.13,10.0,6.2,2.65,7.78,9.63,7.0,6.88,7.39,6.89,6.8,60.0,0.918,very_high
South Africa,6.9,5.99,5.15,8.33,5.64,4.96,6.94,3.65,1.0,5.95,8.79,8.46,4.73,7.33,5.44,4.68,5.06,10.0,1.64,0.77,0.0,0.8,5.8,10.0,2.63,10.0,7.54,5.57,3.13,4.11,8.0,8.27,10.0,6.51,3.36,3.33,8.72,6.34,8.39,7.65,6.3,6.78,44.0,0.713,high
Spain,7.0,6.74,6.31,8.33,8.56,5.29,7.75,8.86,1.0,7.35,8.6,8.98,6.51,8.03,6.61,9.98,8.29,10.0,10.0,3.08,5.0,6.03,8.09,10.0,4.89,10.0,8.3,3.9,3.71,6.8,8.0,5.07,10.0,6.25,3.14,5.33,9.52,9.3,8.51,8.4,7.37,7.3,62.0,0.905,very_high
Sri Lanka,5.41,5.49,4.56,5.0,5.79,3.61,7.59,4.93,0.88,4.99,7.17,8.14,1.82,5.71,4.81,6.23,5.52,10.0,1.64,0.0,0.0,0.55,5.44,5.0,6.76,10.0,7.25,10.0,4.67,6.29,8.0,0.0,10.0,6.49,3.38,6.0,9.65,3.77,9.52,8.55,6.81,6.85,38.0,0.782,high
Sudan,3.88,4.13,3.05,1.67,4.05,3.8,8.94,5.6,0.29,2.73,5.45,5.7,3.89,5.01,5.46,0.92,3.19,10.0,5.52,6.15,0.0,3.89,5.52,7.6,8.03,0.0,4.02,8.33,3.48,4.32,8.0,2.52,0.0,4.44,3.69,3.56,8.71,4.34,6.76,7.98,5.84,4.77,16.0,0.508,low
Suriname,5.53,5.44,5.56,5.0,5.56,2.75,4.46,3.16,0.94,4.55,8.39,7.92,6.13,7.48,6.29,6.83,6.56,10.0,1.64,0.0,0.0,0.55,6.15,8.0,8.97,5.0,7.32,5.57,3.48,6.41,10.0,7.01,10.0,7.08,2.9,1.33,6.9,4.78,7.28,7.77,5.16,6.52,38.0,0.73,high
Sweden,8.2,8.13,7.54,9.17,8.93,6.11,8.45,6.89,1.0,7.93,8.6,8.98,6.51,8.03,7.03,9.93,8.48,10.0,10.0,3.08,5.0,6.03,8.13,10.0,8.98,8.0,8.99,6.67,4.31,4.3,6.0,10.0,5.0,6.05,4.59,6.22,9.72,9.64,9.01,8.63,7.97,7.67,85.0,0.947,very_high
Switzerland,8.59,8.54,9.04,10.0,8.83,6.25,9.6,9.05,1.0,8.74,9.9,8.94,0.46,6.43,6.22,9.91,8.07,10.0,10.0,3.08,5.0,6.03,7.63,8.0,9.11,10.0,9.04,10.0,8.04,7.9,6.0,10.0,0.0,6.99,6.32,6.22,9.58,9.79,8.37,9.29,8.26,8.1,85.0,0.962,very_high
Syrian Arab Republic,3.26,1.7,5.86,3.33,5.36,3.22,4.09,5.95,0.47,3.01,8.37,6.7,0.63,5.23,5.72,2.81,4.27,0.0,0.0,0.83,0.0,0.28,2.44,2.0,4.76,10.0,5.59,7.23,4.75,6.45,6.0,10.0,0.0,5.81,4.14,0.0,9.13,1.17,8.37,6.23,4.13,5.18,14.0,0.577,medium
